Designator,Mid X,Mid Y,Rotation,Layer
AFF1,203.0,-77.5,90.0,top
AFF2,188.5,-77.5,90.0,top
AFF3,232.0,-77.5,90.0,top
AFF4,217.5,-77.5,90.0,top
C1,175.965,-79.81,0.0,top
C10,216.25,-124.75,0.0,bottom
C11,201.25,-125.0,0.0,bottom
C12,230.75,-102.5,0.0,bottom
C13,215.975,-102.75,0.0,bottom
C14,201.25,-103.25,0.0,bottom
C2,160.025,-75.0,0.0,top
C3,175.75,-116.0,270.0,bottom
C4,175.75,-127.0,270.0,top
C5,175.5,-96.25,90.0,top
C9,230.975,-125.75,0.0,bottom
CLK1,164.75,-106.75,0.0,top
J1,178.34,-72.25,0.0,top
J3,175.75,-136.2175,180.0,top
PAUSE1,164.75,-95.75,180.0,top
R1,233.5,-77.5,90.0,bottom
R10,201.5,-77.75,90.0,bottom
R11,198.25,-77.75,90.0,bottom
R12,190.75,-77.5,90.0,bottom
R13,193.75,-77.5,90.0,bottom
R14,189.5,-93.5,90.0,top
R15,186.5,-93.5,90.0,top
R16,183.5,-93.5,90.0,top
R17,183.42,-77.5,90.0,bottom
R18,187.0,-77.58,90.0,bottom
R19,159.5,-83.08,90.0,top
R2,179.5,-130.58,90.0,bottom
R20,164.0,-135.5,0.0,top
R21,176.0,-117.83,90.0,top
R22,236.5,-77.5,90.0,bottom
R23,233.0,-93.5,90.0,top
R24,230.0,-93.5,90.0,top
R25,227.0,-93.5,90.0,top
R26,230.5,-77.5,90.0,bottom
R27,227.5,-77.5,90.0,bottom
R28,219.5,-77.5,90.0,bottom
R29,222.5,-77.5,90.0,bottom
R3,164.0,-139.0,0.0,top
R30,218.5,-93.5,90.0,top
R31,215.5,-93.5,90.0,top
R32,212.5,-93.5,90.0,top
R33,215.75,-77.58,90.0,bottom
R34,212.25,-77.58,90.0,bottom
R35,176.0,-105.08,90.0,top
R36,164.25,-65.25,0.0,top
R37,177.0,-65.25,0.0,top
R38,236.5,-93.5,270.0,top
R4,164.0,-143.05,0.0,top
R5,204.5,-77.75,90.0,bottom
R6,207.75,-77.75,90.0,bottom
R7,204.0,-93.58,90.0,top
R8,201.0,-93.58,90.0,top
R9,198.0,-93.58,90.0,top
RESET1,164.75,-128.75,0.0,top
RV1,169.04,-73.06,0.0,top
U10,230.81,-133.14,0.0,top
U11,216.19,-133.14,0.0,top
U12,187.19,-133.35,0.0,top
U13,201.31,-133.35,0.0,top
U3,201.31,-110.39,0.0,top
U4,186.94,-110.39,0.0,top
U5,167.94,-84.06,0.0,top
U8,230.31,-110.31,0.0,top
U9,215.81,-110.35,0.0,top
UP/DOWN1,164.75,-118.5,0.0,top
